Generators,Resources,Periods,Problem size,Number of variables,Generated energy annealer,Commitment annealer,Start-up annealer,Shut-down annealer,Operational cost annealer,QPU access time,QPU charge time,QPU run time,Generated energy classical,Commitment classical,Start-up classical,Shut classical,Operational cost classical,CPU time
11,natural_gas_fired_combustion_turbine,15,480,1776,0.0,0.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,16,480,1776,34.0,1.0,1.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,17,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,18,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,19,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,2,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,20,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,21,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,22,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,23,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,3,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,4,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,5,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,6,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,7,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,8,480,1776,0.0,0.0,0.0,1.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,9,480,1776,0.0,0.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,0,480,1776,91.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,1.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,1,480,1776,95.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,96.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,10,480,1776,0.0,0.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,11,480,1776,96.0,1.0,1.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,12,480,1776,91.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,13,480,1776,91.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,14,480,1776,0.0,0.0,0.0,1.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,15,480,1776,0.0,0.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,16,480,1776,93.0,1.0,1.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,17,480,1776,92.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,18,480,1776,91.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,19,480,1776,92.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,96.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,2,480,1776,96.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,96.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,20,480,1776,93.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,96.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,21,480,1776,93.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,22,480,1776,93.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,23,480,1776,95.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,3,480,1776,96.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,96.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,4,480,1776,93.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,96.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,5,480,1776,96.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,6,480,1776,91.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,7,480,1776,96.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,8,480,1776,91.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
12,natural_gas_fired_combustion_turbine,9,480,1776,0.0,0.0,0.0,1.0,1560705.0019,0.016049,5000000,5069315,91.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,0,480,1776,0.0,0.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,1.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,1,480,1776,4.0,1.0,1.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,10,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,11,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,12,480,1776,4.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,13,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,14,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,15,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,16,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,17,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,18,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,19,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,2,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,20,480,1776,0.0,0.0,0.0,1.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,21,480,1776,0.0,0.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,22,480,1776,3.0,1.0,1.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,23,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,3,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,4,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,5,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,6,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,7,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,8,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
13,natural_gas_fired_combustion_turbine,9,480,1776,3.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,3.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
14,natural_gas_fired_combustion_turbine,0,480,1776,14.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,14.0,1.0,0.0,1.0,1433901.2051000034,0.4048891820020799
14,natural_gas_fired_combustion_turbine,1,480,1776,14.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,14.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
14,natural_gas_fired_combustion_turbine,10,480,1776,14.0,1.0,1.0,0.0,1560705.0019,0.016049,5000000,5069315,14.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
14,natural_gas_fired_combustion_turbine,11,480,1776,14.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,14.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
14,natural_gas_fired_combustion_turbine,12,480,1776,0.0,0.0,0.0,1.0,1560705.0019,0.016049,5000000,5069315,14.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
14,natural_gas_fired_combustion_turbine,13,480,1776,0.0,0.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,14.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
14,natural_gas_fired_combustion_turbine,14,480,1776,14.0,1.0,1.0,0.0,1560705.0019,0.016049,5000000,5069315,14.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
14,natural_gas_fired_combustion_turbine,15,480,1776,15.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,14.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
